Date,Time,Day,Level,Side,Height (Inches),Width (Inches),Leaf (Inches),Flowers
8/21/2024,7:23 PM,1,1,room,2.375,3.125,1.625,
8/21/2024,7:26 PM,1,1,window,1.625,4.25,2.5,
8/21/2024,7:27 PM,1,2,room,1.375,3.5,2.25,
8/21/2024,7:28 PM,1,2,window,2.25,3.25,2,
8/21/2024,7:37 PM,1,3,room,3.75,4.25,2.75,
8/21/2024,7:38 PM,1,3,window,2.375,2.625,1.25,
8/21/2024,7:39 PM,1,4,room,2,4.125,2.125,
8/21/2024,7:40 PM,1,4,window,1.625,2.625,1.5,
8/21/2024,7:41 PM,1,5,room,2.625,3.25,2.125,
8/21/2024,7:42 PM,1,5,window,3,3,2.25,
8/21/2024,7:43 PM,1,6,room,2.875,3.75,2.75,
8/21/2024,7:44 PM,1,6,window,2,2.75,2.875,
8/21/2024,7:44 PM,1,7,room,1.75,3.5,1.5,
8/21/2024,7:45 PM,1,7,window,3,3.25,1.25,
8/21/2024,7:46 PM,1,8,room,1.5,3,1.75,
8/21/2024,7:47 PM,1,8,window,2.625,3.25,2,
8/21/2024,7:48 PM,1,9,room,2,3,1.875,
8/21/2024,7:48 PM,1,9,window,2.625,3.75,2.25,
8/21/2024,7:49 PM,1,10,room,2,3.375,1.875,
8/21/2024,7:50 PM,1,10,window,1.375,3.375,1.875,
8/22/2024,7:29 PM,2,1,room,2.5,3.5,1.625,
8/22/2024,7:30 PM,2,1,window,2.5,4.75,2.375,
8/22/2024,7:31 PM,2,2,room,1.5,3.375,2,
8/22/2024,7:32 PM,2,2,window,2.5,3.875,2,
8/22/2024,7:33 PM,2,3,room,3,2.75,2.625,
8/22/2024,7:34 PM,2,3,window,2.5,3.75,1.5,
8/22/2024,7:34 PM,2,4,room,2,3.75,2,
8/22/2024,7:35 PM,2,4,window,2,3,1.625,
8/22/2024,7:36 PM,2,5,room,2.75,4.875,2.25,
8/22/2024,7:37 PM,2,5,window,2.875,3.5,2.125,
8/22/2024,7:38 PM,2,6,room,3,4,2.625,
8/22/2024,7:39 PM,2,6,window,2,2.75,1.5,
8/22/2024,7:40 PM,2,7,room,2.125,3.25,1.75,
8/22/2024,7:42 PM,2,7,window,2.625,3.875,1.75,
8/22/2024,7:42 PM,2,8,room,1.5,3.5,2,
8/22/2024,7:43 PM,2,8,window,2.635,3.75,2,
8/22/2024,7:44 PM,2,9,room,2,2.75,2,
8/22/2024,7:45 PM,2,9,window,3.25,3.75,2.375,
8/22/2024,7:46 PM,2,10,room,2,3.75,2,
8/22/2024,7:47 PM,2,10,window,1.75,4,1.75,
8/23/2024,1:56 PM,3,1,room,3,3.5,1.75,
8/23/2024,1:57 PM,3,1,window,2.375,4,2.5,
8/23/2024,1:57 PM,3,2,room,2.875,3.5,1.75,
8/23/2024,1:58 PM,3,2,window,2.5,3.75,2,
8/23/2024,1:59 PM,3,3,room,3.5,4.25,2.75,
8/23/2024,2:00 PM,3,3,window,2.5,3.5,1.5,
8/23/2024,2:00 PM,3,4,room,2.875,3.5,2,
8/23/2024,2:01 PM,3,4,window,2,3.125,1.625,
8/23/2024,2:02 PM,3,5,room,2.375,4.375,2.375,
8/23/2024,2:03 PM,3,5,window,3.875,4,2.25,
8/23/2024,2:03 PM,3,6,room,3.25,4,2.75,
8/23/2024,2:04 PM,3,6,window,2.125,2.75,1.75,
8/23/2024,2:05 PM,3,7,room,2.125,3.75,1.75,
8/23/2024,2:06 PM,3,7,window,2.875,3.875,2,
8/23/2024,2:06 PM,3,8,room,2.625,3.75,2.125,
8/23/2024,2:07 PM,3,8,window,2.625,4,2.125,
8/23/2024,2:08 PM,3,9,room,2.125,2.75,1.875,
8/23/2024,2:09 PM,3,9,window,3.5,3.75,2.5,
8/23/2024,2:09 PM,3,10,room,2.25,4,2,
8/23/2024,2:10 PM,3,10,window,1.75,4.75,1.875,
8/24/2024,11:37 AM,4,1,room,2.75,3.75,2.25,
8/24/2024,11:37 AM,4,1,window,2.75,4.75,2.125,
8/24/2024,11:38 AM,4,2,room,2.125,3.875,1.875,
8/24/2024,11:39 AM,4,2,window,3.125,4.25,2,
8/24/2024,11:40 AM,4,3,room,3.75,4.75,2.75,
8/24/2024,11:41 AM,4,3,window,2.75,4,1.625,
8/24/2024,11:41 AM,4,4,room,2.875,4.375,2,
8/24/2024,11:42 AM,4,4,window,2.25,3.875,1.625,
8/24/2024,11:44 AM,4,5,room,3.125,4.75,2.5,
8/24/2024,11:45 AM,4,5,window,3.375,4.375,2.375,
8/24/2024,11:46 AM,4,6,room,3,4.375,2.625,
8/24/2024,11:46 AM,4,6,window,2.5,4,1.75,
8/24/2024,11:48 AM,4,7,room,2.25,3.875,1.75,
8/24/2024,11:49 AM,4,7,window,3,4.375,2.375,
8/24/2024,11:50 AM,4,8,room,1.875,4.25,2.25,
8/24/2024,11:50 AM,4,8,window,3.125,4.25,2.25,
8/24/2024,11:51 AM,4,9,room,2.375,3.875,2,
8/24/2024,11:52 AM,4,9,window,3.875,4.375,2.625,
8/24/2024,11:53 AM,4,10,room,2.5,4,2.25,
8/24/2024,11:53 AM,4,10,window,2.25,5,2.125,
8/25/2024,10:39 AM,5,1,room,2.8,3.62,2.06,
8/25/2024,10:40 AM,5,1,window,3.61,4.55,2.3,
8/25/2024,10:41 AM,5,2,room,3.65,4.04,2.02,
8/25/2024,10:42 AM,5,2,window,3.21,4.84,2.05,
8/25/2024,10:43 AM,5,3,room,4.21,4.22,2.9,
8/25/2024,10:44 AM,5,3,window,2.72,4.04,1.51,
8/25/2024,10:45 AM,5,4,room,3.01,4.84,2.13,
8/25/2024,10:46 AM,5,4,window,2.58,3.91,1.93,
8/25/2024,10:47 AM,5,5,room,3.3,5.04,2.55,
8/25/2024,10:48 AM,5,5,window,3.87,4.49,2.4,
8/25/2024,10:49 AM,5,6,room,2.75,4.24,2.66,
8/25/2024,10:50 AM,5,6,window,2.81,3.87,2.01,
8/25/2024,10:51 AM,5,7,room,2.59,4.23,1.9,
8/25/2024,10:52 AM,5,7,window,3.07,3.82,2.48,
8/25/2024,10:52 AM,5,8,room,2.19,4.17,2.17,
8/25/2024,10:53 AM,5,8,window,3.52,4.56,2.3,
8/25/2024,10:54 AM,5,9,room,2.81,3.8,1.87,
8/25/2024,10:55 AM,5,9,window,4.44,4.32,2.55,
8/25/2024,10:55 AM,5,10,room,3.17,4.57,2.15,
8/25/2024,10:56 AM,5,10,window,2.21,5.08,1.73,
8/26/2024,6:31 PM,6,1,room,3.35,4.04,2.2,
8/26/2024,6:33 PM,6,1,window,3.61,4.85,2.43,
8/26/2024,6:34 PM,6,2,room,2.84,3.97,1.66,
8/26/2024,6:35 PM,6,2,window,3.7,4.97,2.14,
8/26/2024,6:35 PM,6,3,room,4.19,4.6,2.7,
8/26/2024,6:36 PM,6,3,window,3.5,4.34,1.67,
8/26/2024,6:37 PM,6,4,room,2.85,4.95,2.33,
8/26/2024,6:38 PM,6,4,window,3.15,4.23,2.03,
8/26/2024,6:39 PM,6,5,room,3.24,5.23,2.72,
8/26/2024,6:40 PM,6,5,window,4.86,4.45,2.5,
8/26/2024,6:41 PM,6,6,room,2.67,3.97,2.7,
8/26/2024,6:42 PM,6,6,window,3.07,4.18,2.18,
8/26/2024,6:43 PM,6,7,room,2.81,4.26,2.06,
8/26/2024,6:44 PM,6,7,window,3.19,3.9,2.62,
8/26/2024,6:45 PM,6,8,room,2.38,3.82,2.29,
8/26/2024,6:45 PM,6,8,window,3.63,4.71,2.52,
8/26/2024,6:46 PM,6,9,room,2.85,3.86,2.16,
8/26/2024,6:47 PM,6,9,window,5.53,4.54,2.65,
8/26/2024,6:48 PM,6,10,room,4.14,4.56,2.14,
8/26/2024,6:49 PM,6,10,window,2.65,5.47,1.93,
8/27/2024,1:58 PM,7,1,room,3.08,4.55,2.42,
8/27/2024,2:00 PM,7,1,window,3.68,4.9,2.55,
8/27/2024,2:00 PM,7,2,room,3.6,3.84,1.74,
8/27/2024,2:01 PM,7,2,window,3.11,4.32,2.11,
8/27/2024,2:02 PM,7,3,room,4.39,5.07,3.06,
8/27/2024,2:03 PM,7,3,window,2.89,4.31,1.7,
8/27/2024,2:04 PM,7,4,room,2.46,4.85,2.44,
8/27/2024,2:05 PM,7,4,window,3.02,4.35,2.13,
8/27/2024,2:06 PM,7,5,room,3.97,5.21,2.76,
8/27/2024,2:07 PM,7,5,window,4.69,4.28,2.45,
8/27/2024,2:08 PM,7,6,room,2.84,4.15,2.59,
8/27/2024,2:09 PM,7,6,window,3.27,4.44,2.21,
8/27/2024,2:09 PM,7,7,room,3.37,4.55,2.22,
8/27/2024,2:10 PM,7,7,window,3.28,3.79,2.66,
8/27/2024,2:11 PM,7,8,room,2.57,4.12,2.29,
8/27/2024,2:12 PM,7,8,window,4.27,4.61,2.59,
8/27/2024,2:13 PM,7,9,room,2.88,3.97,2.11,
8/27/2024,2:14 PM,7,9,window,5.55,4.92,2.9,
8/27/2024,2:15 PM,7,10,room,3.73,4.45,2.13,
8/27/2024,2:16 PM,7,10,window,2.76,5.72,2.1,
8/28/2024,9:51 AM,8,1,room,3.28,4.25,2.35,
8/28/2024,9:54 AM,8,1,window,4.02,5.18,2.56,
8/28/2024,9:54 AM,8,2,room,2.68,4.07,1.74,
8/28/2024,9:56 AM,8,2,window,3.6,5.06,2.44,
8/28/2024,9:57 AM,8,3,room,4.59,5.39,2.72,
8/28/2024,9:58 AM,8,3,window,3.7,5.04,1.86,
8/28/2024,9:59 AM,8,4,room,3.45,5.16,2.59,
8/28/2024,9:59 AM,8,4,window,3.34,4.83,2.04,
8/28/2024,10:00 AM,8,5,room,4.44,5.02,2.82,
8/28/2024,10:02 AM,8,5,window,5.04,4.09,2.66,
8/28/2024,10:03 AM,8,6,room,2.92,3.91,2.68,
8/28/2024,10:04 AM,8,6,window,3.48,4.64,2.3,
8/28/2024,10:05 AM,8,7,room,3.34,5.17,2.41,
8/28/2024,10:06 AM,8,7,window,3.62,3.95,2.66,
8/28/2024,10:07 AM,8,8,room,2.92,4.28,2.36,
8/28/2024,10:08 AM,8,8,window,4.27,4.86,2.52,
8/28/2024,10:09 AM,8,9,room,3.93,4.68,2.17,
8/28/2024,10:11 AM,8,9,window,5.84,4.97,3.02,
8/28/2024,10:11 AM,8,10,room,4.08,4.69,2.17,
8/28/2024,10:12 AM,8,10,window,2.82,5.62,2.09,
8/29/2024,9:40 AM,9,1,room,3.44,4.93,2.59,
8/29/2024,9:42 AM,9,1,window,3.91,5.19,2.6,
8/29/2024,9:43 AM,9,2,room,3.09,3.88,1.9,
8/29/2024,9:44 AM,9,2,window,3.59,5.35,2.57,
8/29/2024,9:45 AM,9,3,room,4.97,5.94,2.93,
8/29/2024,9:46 AM,9,3,window,3.39,4.57,1.95,
8/29/2024,9:47 AM,9,4,room,3.74,5.19,2.54,
8/29/2024,9:47 AM,9,4,window,3.02,4.63,2.17,
8/29/2024,9:49 AM,9,5,room,3.67,5.39,2.9,
8/29/2024,9:50 AM,9,5,window,5.3,3.94,2.7,
8/29/2024,9:51 AM,9,6,room,3.22,4.19,2.69,
8/29/2024,9:52 AM,9,6,window,3.48,4.8,2.39,
8/29/2024,9:53 AM,9,7,room,3.62,4.99,2.5,
8/29/2024,9:54 AM,9,7,window,3.51,4.14,2.73,
8/29/2024,9:55 AM,9,8,room,3.4,4.8,2.51,
8/29/2024,9:56 AM,9,8,window,4.65,5.05,2.6,
8/29/2024,9:57 AM,9,9,room,3.47,4.84,2.32,
8/29/2024,9:58 AM,9,9,window,6.11,5.11,3.1,
8/29/2024,9:59 AM,9,10,room,4.21,4.92,2.32,
8/29/2024,10:00 AM,9,10,window,3.25,5.37,2.2,
8/30/2024,8:43 AM,10,1,room,3.64,5.28,2.65,
8/30/2024,8:44 AM,10,1,window,3.81,5.24,2.68,
8/30/2024,8:45 AM,10,2,room,3.26,3.85,1.99,
8/30/2024,8:46 AM,10,2,window,3.78,5.52,2.5,
8/30/2024,8:47 AM,10,3,room,4.95,6.06,2.95,
8/30/2024,8:48 AM,10,3,window,3.74,4.95,2.1,
8/30/2024,8:49 AM,10,4,room,3.95,5.23,2.63,
8/30/2024,8:50 AM,10,4,window,3.14,4.96,2.28,
8/30/2024,8:51 AM,10,5,room,3.77,5.42,2.85,
8/30/2024,8:52 AM,10,5,window,5.75,4.19,2.75,
