Entry,Timestamp,Unit,Depth,pH,EC,PPM,Temperature,Humidity,Brix Value,Brix Color,Brix Line,H2O+,NPK+,Acid+,Alkaline+,Yields,ID,Dataset
92,2024-09-23T23:33:19.919Z,"""00""",,,,,,,,,,,,,,"{""Winner Basil"":733}",Rate Test-92,Rate Test
91,2024-09-23T22:20:21.557Z,"""00""",5.13,6.1,4558,2279,73.9,,,,,,,,,"{""Winner Basil"":null}",Rate Test-91,Rate Test
90,2024-09-23T12:19:14.305Z,"""00""",5.5,6.4,4062,2031,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-90,Rate Test
89,2024-09-23T00:33:42.342Z,"""00""",5.69,6.7,4254,2127,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-89,Rate Test
88,2024-09-22T12:13:39.648Z,"""00""",6,6.7,3568,1784,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-88,Rate Test
87,2024-09-22T02:20:37.920Z,"""00""",6.13,6.2,3720,1860,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-87,Rate Test
86,2024-09-21T11:46:57.533Z,"""00""",6.5,6.2,3530,1765,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-86,Rate Test
85,2024-09-21T01:13:55.051Z,"""00""",6.75,6,3530,1765,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-85,Rate Test
84,2024-09-20T12:33:36.983Z,"""00""",7,6.3,3358,1679,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-84,Rate Test
83,2024-09-20T00:32:51.218Z,"""00""",7.25,6.1,3472,1736,74.4,,,,,,,,,"{""Winner Basil"":null}",Rate Test-83,Rate Test
82,2024-09-19T12:36:00.742Z,"""00""",7.63,6,3072,1536,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-82,Rate Test
81,2024-09-19T00:45:04.166Z,"""00""",7.88,6.1,3016,1508,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-81,Rate Test
80,2024-09-18T12:27:13.349Z,"""00""",8.31,6.1,2806,1403,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-80,Rate Test
79,2024-09-17T23:33:45.122Z,"""00""",8.63,6.1,3046,1523,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-79,Rate Test
78,2024-09-17T23:32:45.926Z,"""00""",8.63,6.2,2820,1410,69.8,,,,,,0.5,,,"{""Winner Basil"":null}",Rate Test-78,Rate Test
77,2024-09-17T11:07:33.141Z,"""00""",,,,,,,,,,,,,,"{""Winner Basil"":128}",Rate Test-77,Rate Test
76,2024-09-17T10:48:23.754Z,"""00""",9.13,6.4,2464,1232,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-76,Rate Test
75,2024-09-16T23:53:30.206Z,"""00""",9.47,6.5,2420,1210,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-75,Rate Test
74,2024-09-16T23:52:29.465Z,"""00""",9.47,6.2,2054,1027,70.8,,,,,,1,,,"{""Winner Basil"":null}",Rate Test-74,Rate Test
73,2024-09-16T23:47:45.946Z,"""00""",7.88,7,2658,1329,72.5,,,,,81.5,,,,"{""Winner Basil"":null}",Rate Test-73,Rate Test
72,2024-09-16T23:42:29.913Z,"""00""",5.44,6.3,3910,1955,69.8,,,,,124.7,,,,"{""Winner Basil"":null}",Rate Test-72,Rate Test
71,2024-09-16T22:15:15.511Z,"""00""",,,,,,,,,,,,,,"{""Winner Basil"":null}",Rate Test-71,Rate Test
70,2024-09-16T11:22:55.377Z,"""00""",6.19,6,3624,1812,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-70,Rate Test
69,2024-09-16T00:24:36.872Z,"""00""",6.38,6.1,3682,1841,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-69,Rate Test
68,2024-09-15T14:18:59.766Z,"""00""",7,6.1,3282,1641,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-68,Rate Test
67,2024-09-14T23:42:54.967Z,"""00""",7.5,6.2,3282,1641,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-67,Rate Test
66,2024-09-14T23:41:54.325Z,"""00""",7.5,6.1,2928,1464,69.8,,,,,,0.5,,,"{""Winner Basil"":null}",Rate Test-66,Rate Test
65,2024-09-14T13:43:04.756Z,"""00""",8.13,6.2,2992,1496,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-65,Rate Test
64,2024-09-13T23:38:29.108Z,"""00""",8.5,6.4,3024,1512,72.5,,,,,,,,,"{""Winner Basil"":0}",Rate Test-64,Rate Test
63,2024-09-13T13:18:52.493Z,"""00""",9.1,6.7,2614,1307,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-63,Rate Test
62,2024-09-13T13:17:01.452Z,"""00""",7.63,6.2,2864,1432,69.8,,,,,78.3,,,,"{""Winner Basil"":null}",Rate Test-62,Rate Test
61,2024-09-13T13:11:55.046Z,"""00""",5.5,6,4692,2346,71.6,,,,,104.3,,,,"{""Winner Basil"":null}",Rate Test-61,Rate Test
60,2024-09-13T01:19:32.804Z,"""00""",5.84,6.5,4558,2279,74.4,,,,,,,,,"{""Winner Basil"":null}",Rate Test-60,Rate Test
59,2024-09-12T13:11:37.603Z,"""00""",6.44,6,4176,2088,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-59,Rate Test
58,2024-09-11T23:19:07.092Z,"""00""",6.81,6,4044,2022,70.8,,,,,,,,,"{""Winner Basil"":0}",Rate Test-58,Rate Test
57,2024-09-11T12:44:37.715Z,"""00""",7.5,6,3816,1908,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-57,Rate Test
56,2024-09-10T23:34:17.195Z,"""00""",7.81,6.2,3796,1898,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-56,Rate Test
55,2024-09-10T16:39:59.991Z,"""00""",8.25,6,3186,1593,76.1,,,,,,,,,"{""Winner Basil"":null}",Rate Test-55,Rate Test
